Name	Frequency	color
1	0.09057	#4b2173
2	0.00881	#a590b9
3	0.03396	#81639d
5	0.00755	#b7a6c7
6	0.21509	#431d67
7	0.05157	#5d3781
8	0.00503	#c9bcd5
9	0.03648	#6e4d8f
10	0.52704	#3c1a5c
11	0.00252	#dbd2e3
12	0.02138	#9379ab
