Cnt_S_HOOD	Name	Frequency	color
50	1	0.12285		#4b2173
57	2	0.140049	#431d67
91	3	0.223587	#3c1a5c
24	4	0.0589681	#9379ab
21	5	0.0515971	#a590b9
30	6	0.0737101	#81639d
21	7	0.0515971	#b7a6c7
15	8	0.036855	#c9bcd5
38	9	0.0933661	#6e4d8f
46	10	0.113022	#5d3781
1	11	0.002457	#ede8f1
13	12	0.031941	#dbd2e3
