Name	Frequency	color
1	0.12285	#4b2173
2	0.140049	#431d67
3	0.223587	#3c1a5c
4	0.0589681	#9379ab
5	0.0515971	#a590b9
6	0.0737101	#81639d
7	0.0515971	#b7a6c7
8	0.036855	#c9bcd5
9	0.0933661	#6e4d8f
10	0.113022	#5d3781
11	0.002457	#ede8f1
12	0.031941	#dbd2e3
