Name	Frequency	color
1	0.059322	#6e4d8f
2	0.0508475	#81639d
3	0.139831	#4b2173
5	0.0211864	#a590b9
6	0.0805085	#5d3781
7	0.0381356	#9379ab
8	0.148305	#431d67
9	0.461864	#3c1a5c
